,search-city,search-key,company,phno,actual-address,actual-tags
24,Mumbai,textile-manufacturer,"Shiv Shakti Synthetics & Ankit Suitings in Bhilwara HO, Bhilwara",+(91)-9152472612,"Shop No - 10, New Cloth Market, Pur Road, Bhilwara HO, Bhilwara - 311001, Near Gangapur Chouraha","Textile Manufacturers, Suitings & Shirtings Manufacturers, .."
25,Mumbai,textile-manufacturer,"Ahuja Textile Mill in Kashmir Nagar, Ludhiana",+(91)-9803804884,"Street No. 1, Gaushala Road, Kashmir Nagar, Ludhiana - 141008, Opposite Gilson Gas,","Cloth Wholesalers, Shawl Manufacturers, .."
26,Mumbai,textile-manufacturer,"H P Singh Agencies Pvt Ltd in Nehru Place, Delhi",+(91)-9152470822,"G-1,Vaikunth,82-83, Nehru Place, Delhi - 110019, Near Dtc Bus Terminal Parking","Readymade Garment Retailers, Fabric Wholesalers, .."
27,Mumbai,textile-manufacturer,"Evergreen Uniforms in Industrial Area A, Ludhiana",+(91)-9501232332,"Plot No. 329/30, RK Road, Industrial Area A, Ludhiana - 141003, Near Cheema Chowk","T Shirt Manufacturers, Jacket Manufacturers, .."
28,Mumbai,textile-manufacturer,"Ajay Kumar Pratik Kumar in Gandhi Nagar, Delhi",+(91)-9312402305,"9/696, Kishan Dutt Gali, Subhash Road, Gandhi Nagar, Delhi - 110031, Opposite Wooden Box Factory","Readymade Garment Retailers, Readymade Garment Manufacturers, .."
29,Mumbai,textile-manufacturer,"Alpine Expo Tex Pvt Ltd in Okhla Industrial Area Phase 1, Delhi",+(91)-11-40536801,"Plot Number C 102, Okhla Industrial Area Phase 1, Delhi - 110020","Fabric Wholesalers, Ladies Readymade Garment Manufacturers, .."
30,Mumbai,textile-manufacturer,"Navkar Rayons Pvt. Ltd. in Bhilwara City, Bhilwara",+(91)-9152806679,"425 / U - Navkar Tower, Pur Road, Bhilwara City, Bhilwara - 311001, Near Om Textile Tower","Textile Manufacturers, Suitings & Shirtings Manufacturers, .."
31,Mumbai,textile-manufacturer,"Venkata Krishna Textiles in Woriyur, Trichy",+(91)-431-4975667,"No 39, Panchavarna Koil Street,Thiruthanthoni Road, Woriyur, Trichy - 620003, Opposite to Post Office","Textile Retailers, Silk Saree Wholesalers, .."
32,Mumbai,textile-manufacturer,"Moola Shah Mulakh Raj in Fatehpuri, Delhi",+(91)-9152929144,"4717, Cloth Market, Laxmi Bazar, Fatehpuri, Delhi - 110006, Near Old Delhi Railway Station","Face Mask Manufacturers, Fabric Wholesalers, .."
33,Mumbai,textile-manufacturer,"Pothys in T Nagar, Chennai",+(91)-9152751931,"No 15, Nageshwaran Road, T Nagar, Chennai - 600017","Readymade Garment Retailers, Saree Wholesalers, .."
34,Mumbai,textile-manufacturer,"Pothys Hyper in T Nagar, Chennai",+(91)-8939593990,"No 84 / 85, Usman Road, T Nagar, Chennai - 600017","Readymade Garment Retailers, Saree Wholesalers, .."
35,Mumbai,textile-manufacturer,"Mayur Decor Mayur Home in Panipat City, Panipat",+(91)-9996922229,"85-86, Part-1, HUDA, Sector-25, Panipat City, Panipat - 132103, Opp.Khadi Ashram","Blanket Manufacturers, Bed Sheet Wholesalers, .."
